Rex,Label,Density,Grams,Cost,Formula Number
"BASE","WIPE STAIN",0.82444578,2846,0,"2338"
"BU","BURNT UMBER",1.483523,177.89999,0,"2338"
"QR","QUIN RED",0.99460757,28.5,0,"2338"
"LB","LAMP BLACK",1.0665069,74,0,"2338"
"RO","RED OXIDE",1.7974836,142.3,0,"2338"
"DYE","GOLDEN BROWN",1.0305573,37,0,"2338"
"BASE","GLAZE",0.88436192,2968.1001,0,"2339"
"YO","YELLOW OXIDE",1.605752,86.599998,0,"2339"
"TW","TITANIUM WHITE",1.8813661,476.10001,0,"2339"
"LB","LAMP BLACK",1.0665069,129.89999,0,"2339"
"BASE","WIPE STAIN",0.82444578,2839.2,0,"2341"
"BU","BURNT UMBER",1.483523,283.89999,0,"2341"
"QR","QUIN RED ",0.99460757,71,0,"2341"
"LB","LAMP BLACK",1.0665069,83.900002,0,"2341"
"PRIMER","24 WHITE",1.1312163,4279.2002,0,"2342"
"BU","BURNT UMBER",1.483523,0.60000002,0,"2342"
"RU","RAW UMBER",1.3876573,0.30000001,0,"2342"
"YO","YELLOW OXIDE",1.605752,1.9,0,"2342"
"LB","LAMP BLACK",1.0665069,0.2,0,"2342"
"UO","UNLEADED ORANGE",1.9868184,0.30000001,0,"2342"
"BASE","WIPE STAIN",0.82444578,2494.1001,0,"2343"
"LB","LAMP BLACK",1.0665069,810.59998,0,"2343"
"SEALER","TONER",0.97303772,3555.6001,0,"2344"
"TW","TITANUIMN WHITE",1.8813661,73.5,0,"2344"
"QR","QUIN RED",0.99460757,1.2,0,"2344"
"LB","LAMP BLACK",1.0665069,28.4,0,"2344"
"PB","PTHALO BLUE",1.0041941,42.700001,0,"2344"
"PG","PTHALO GREEN",1.052127,22.5,0,"2344"
"BASE","WIPE STAIN",0.76452965,2533.6001,0,"2346"
"BU","BURNT UMBER",1.483523,316.70001,0,"2346"
"RU","RAW UMBER",1.3876573,95,0,"2346"
"YO","YELLOW OXIDE",1.605752,101.3,0,"2346"
"LB","LAMP BLACK",1.0665069,114,0,"2346"
"QR","QUIN RED",0.99460757,19,0,"2346"
"BASE","WIPE STAIN",0.76452965,2710,0,"2347"
"RU","RAW UMBER",1.3876573,180.7,0,"2347"
"YO","YELLOW OXIDE",1.605752,4.5,0,"2347"
"LB","LAMP BLACK",1.0665069,90.300003,0,"2347"
"QR","QUIN RED",0.99460757,22.6,0,"2347"
"LB","LAMP BLACK",1.0665069,289.89999,0,"2348"
"QR","QUIN RED",0.99460757,87,0,"2348"
"BASE","GLAZE ",0.88436192,3029.8999,0,"2348"
